"date","ABERTURA","last","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"01.10.2019","39,30","39,30","-2,12","39,17","40,09","85,76M"
"01.10.2019","39,30","39,30","-2,12","39,17","40,09","85,76M"
"30.09.2019","40,15","40,15","-0,10","39,70","40,56","110,17M"
"30.09.2019","40,15","40,15","-0,10","39,70","40,56","110,17M"
"27.09.2019","40,19","40,19","1,11","39,40","40,61","121,18M"
"27.09.2019","40,19","40,19","1,11","39,40","40,61","121,18M"
"26.09.2019","39,97","39,75","0,03","39,53","40,73","177,50M"
"26.09.2019","39,97","39,75","0,03","39,53","40,73","177,50M"
"25.09.2019","39,74","39,74","0,51","38,46","39,74","154,04M"
"25.09.2019","39,74","39,74","0,51","38,46","39,74","154,04M"
"24.09.2019","39,54","39,54","-2,83","39,51","41,28","141,94M"
"24.09.2019","39,54","39,54","-2,83","39,51","41,28","141,94M"
"23.09.2019","40,69","40,69","1,50","39,68","40,82","137,03M"
"23.09.2019","40,69","40,69","1,50","39,68","40,82","137,03M"
"20.09.2019","40,09","40,09","-5,78","40,07","41,90","406,00M"
"20.09.2019","40,09","40,09","-5,78","40,07","41,90","406,00M"
"19.09.2019","42,55","42,55","-2,41","41,26","44,44","224,16M"
"19.09.2019","42,55","42,55","-2,41","41,26","44,44","224,16M"
"18.09.2019","43,60","43,60","-1,96","43,30","44,40","134,58M"
"18.09.2019","43,60","43,60","-1,96","43,30","44,40","134,58M"
"17.09.2019","44,47","44,47","1,34","43,01","44,47","135,01M"
"17.09.2019","44,47","44,47","1,34","43,01","44,47","135,01M"
"16.09.2019","43,51","43,88","0,99","42,55","44,55","156,88M"
"16.09.2019","43,51","43,88","0,99","42,55","44,55","156,88M"
"13.09.2019","43,45","43,45","-3,06","43,02","45,40","112,87M"
"13.09.2019","43,45","43,45","-3,06","43,02","45,40","112,87M"
"12.09.2019","45,90","44,82","-1,97","44,78","46,21","160,08M"
"12.09.2019","45,90","44,82","-1,97","44,78","46,21","160,08M"
"11.09.2019","45,72","45,72","2,53","44,74","45,91","104,00M"
"11.09.2019","45,72","45,72","2,53","44,74","45,91","104,00M"
"10.09.2019","44,59","44,59","-0,87","43,82","44,84","109,00M"
"10.09.2019","44,59","44,59","-0,87","43,82","44,84","109,00M"
"09.09.2019","44,98","44,98","-0,04","44,05","45,59","124,94M"
"09.09.2019","44,98","44,98","-0,04","44,05","45,59","124,94M"
"06.09.2019","45,00","45,00","-2,17","44,54","46,27","127,31M"
"06.09.2019","45,00","45,00","-2,17","44,54","46,27","127,31M"
"05.09.2019","46,00","46,00","0,66","45,20","46,25","138,83M"
"05.09.2019","46,00","46,00","0,66","45,20","46,25","138,83M"
"04.09.2019","45,81","45,70","2,47","44,71","45,81","126,51M"
"04.09.2019","45,81","45,70","2,47","44,71","45,81","126,51M"
"03.09.2019","44,60","44,60","-3,27","44,47","46,30","154,04M"
"03.09.2019","44,60","44,60","-3,27","44,47","46,30","154,04M"
"02.09.2019","46,11","46,11","0,37","45,62","46,74","91,48M"
"02.09.2019","46,11","46,11","0,37","45,62","46,74","91,48M"
"30.08.2019","45,94","45,94","1,03","43,62","46,96","210,94M"
"30.08.2019","45,94","45,94","1,03","43,62","46,96","210,94M"
"29.08.2019","45,47","45,47","2,87","43,62","45,69","175,82M"
"29.08.2019","45,47","45,47","2,87","43,62","45,69","175,82M"
"28.08.2019","44,20","44,20","3,54","41,64","44,33","158,46M"
"28.08.2019","44,20","44,20","3,54","41,64","44,33","158,46M"
"27.08.2019","42,69","42,69","-2,53","42,45","44,41","167,57M"
"27.08.2019","42,69","42,69","-2,53","42,45","44,41","167,57M"
"26.08.2019","43,80","43,80","-3,10","43,73","46,40","150,80M"
"26.08.2019","43,80","43,80","-3,10","43,73","46,40","150,80M"
"23.08.2019","45,20","45,20","-3,48","45,02","47,87","199,49M"
"23.08.2019","45,20","45,20","-3,48","45,02","47,87","199,49M"
"22.08.2019","46,83","46,83","4,07","43,95","47,36","355,65M"
"22.08.2019","46,83","46,83","4,07","43,95","47,36","355,65M"
"21.08.2019","45,00","45,00","12,39","40,81","45,81","485,18M"
"21.08.2019","45,00","45,00","12,39","40,81","45,81","485,18M"
"20.08.2019","40,04","40,04","-1,50","38,83","40,77","98,35M"
"20.08.2019","40,04","40,04","-1,50","38,83","40,77","98,35M"
"19.08.2019","40,65","40,65","-1,81","40,17","42,00","92,20M"
"19.08.2019","40,65","40,65","-1,81","40,17","42,00","92,20M"
"16.08.2019","41,40","41,40","2,60","40,29","41,40","150,94M"
"16.08.2019","41,40","41,40","2,60","40,29","41,40","150,94M"
"15.08.2019","40,35","40,35","-1,80","39,50","41,81","157,31M"
"15.08.2019","40,35","40,35","-1,80","39,50","41,81","157,31M"
"14.08.2019","42,79","41,09","-5,69","40,97","42,97","233,36M"
"14.08.2019","42,79","41,09","-5,69","40,97","42,97","233,36M"
"13.08.2019","44,16","43,57","1,44","42,56","44,16","145,27M"
"13.08.2019","44,16","43,57","1,44","42,56","44,16","145,27M"
"12.08.2019","42,95","42,95","-3,00","42,24","43,76","162,33M"
"12.08.2019","42,95","42,95","-3,00","42,24","43,76","162,33M"
"09.08.2019","43,62","44,28","2,15","42,91","44,28","149,93M"
"09.08.2019","43,62","44,28","2,15","42,91","44,28","149,93M"
"08.08.2019","42,03","43,35","3,83","41,16","43,35","212,17M"
"08.08.2019","42,03","43,35","3,83","41,16","43,35","212,17M"
"07.08.2019","41,75","41,75","-2,06","41,04","42,28","125,50M"
"07.08.2019","41,75","41,75","-2,06","41,04","42,28","125,50M"
"06.08.2019","42,63","42,63","0,45","42,01","43,16","114,45M"
"06.08.2019","42,63","42,63","0,45","42,01","43,16","114,45M"
"05.08.2019","42,44","42,44","-1,19","41,80","43,12","172,27M"
"05.08.2019","42,44","42,44","-1,19","41,80","43,12","172,27M"
"02.08.2019","42,95","42,95","1,99","41,57","44,05","189,93M"
"02.08.2019","42,95","42,95","1,99","41,57","44,05","189,93M"
"01.08.2019","42,11","42,11","6,91","40,00","42,18","325,39M"
"01.08.2019","42,11","42,11","6,91","40,00","42,18","325,39M"
"31.07.2019","39,39","39,39","1,13","38,50","39,50","84,98M"
"31.07.2019","39,39","39,39","1,13","38,50","39,50","84,98M"
"30.07.2019","38,95","38,95","1,51","38,31","39,21","66,71M"
"30.07.2019","38,95","38,95","1,51","38,31","39,21","66,71M"
"29.07.2019","38,37","38,37","-0,34","38,15","39,05","68,04M"
"29.07.2019","38,37","38,37","-0,34","38,15","39,05","68,04M"
"26.07.2019","38,50","38,50","2,07","37,73","38,60","68,78M"
"26.07.2019","38,50","38,50","2,07","37,73","38,60","68,78M"
"25.07.2019","37,72","37,72","-1,98","37,58","38,74","65,46M"
"25.07.2019","37,72","37,72","-1,98","37,58","38,74","65,46M"
"24.07.2019","38,48","38,48","0,37","38,17","39,11","62,22M"
"24.07.2019","38,48","38,48","0,37","38,17","39,11","62,22M"
"23.07.2019","38,34","38,34","-0,75","38,34","39,15","84,21M"
"22.07.2019","38,63","38,63","-1,98","38,45","39,80","126,82M"
"19.07.2019","39,41","39,41","-2,91","39,39","40,45","166,35M"
"18.07.2019","40,59","40,59","0,59","39,86","40,64","105,14M"
"17.07.2019","40,35","40,35","3,99","39,12","40,45","212,49M"
"16.07.2019","37,80","38,80","3,47","37,04","38,80","118,81M"
"15.07.2019","37,50","37,50","-4,82","37,45","39,50","144,68M"
