"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"01.10.2019","2.684","2.677","-0,27","2.673","2.689","196,95M"
"30.09.2019","2.678","2.684","0,24","2.678","2.685","130,87M"
"27.09.2019","2.670","2.678","0,31","2.670","2.678","115,38M"
"26.09.2019","2.672","2.670","-0,11","2.670","2.675","131,68M"
"25.09.2019","2.668","2.672","0,17","2.667","2.674","165,66M"
"24.09.2019","2.667","2.668","0,05","2.665","2.669","122,46M"
"23.09.2019","2.668","2.667","-0,04","2.663","2.670","124,23M"
"20.09.2019","2.665","2.668","0,12","2.665","2.669","123,80M"
"19.09.2019","2.659","2.664","0,21","2.659","2.666","124,35M"
"18.09.2019","2.659","2.659","0,00","2.658","2.663","133,54M"
"17.09.2019","2.656","2.659","0,12","2.656","2.661","104,29M"
"16.09.2019","2.658","2.656","-0,09","2.656","2.660","104,66M"
"13.09.2019","2.656","2.658","0,10","2.656","2.660","104,54M"
"12.09.2019","2.652","2.656","0,13","2.651","2.657","61,99M"
"11.09.2019","2.658","2.652","-0,21","2.652","2.660","123,66M"
"10.09.2019","2.658","2.658","-0,02","2.654","2.662","119,23M"
"09.09.2019","2.660","2.658","-0,06","2.656","2.663","137,52M"
"06.09.2019","2.660","2.660","-0,02","2.658","2.663","134,38M"
"05.09.2019","2.662","2.660","-0,07","2.658","2.665","140,67M"
"04.09.2019","2.657","2.662","0,18","2.657","2.663","118,91M"
"03.09.2019","2.657","2.657","0,03","2.656","2.662","130,88M"
"02.09.2019","2.657","2.657","0,00","2.651","2.660","129,23M"
"30.08.2019","2.639","2.657","0,65","2.639","2.657","146,17M"
"29.08.2019","2.632","2.639","0,28","2.629","2.640","86,30M"
"28.08.2019","2.624","2.632","0,30","2.622","2.632","99,20M"
"27.08.2019","2.621","2.624","0,11","2.621","2.626","101,19M"
"26.08.2019","2.627","2.621","-0,23","2.618","2.630","104,66M"
"23.08.2019","2.626","2.627","0,04","2.623","2.628","111,45M"
"22.08.2019","2.626","2.626","0,03","2.625","2.629","84,59M"
"21.08.2019","2.624","2.626","0,06","2.623","2.629","105,52M"
"20.08.2019","2.633","2.624","-0,36","2.622","2.634","123,83M"
"19.08.2019","2.637","2.633","-0,14","2.630","2.638","114,23M"
